input,output,category,complexity,type
Verwende 'schwarzviolett' in einem Satz.,Das ist schwarzviolett.,farben,1,sentence_generation
Verwende 'schwarzviolett' in einem Satz.,Ich sehe etwas schwarzviolettes.,farben,1,sentence_generation
Was bedeutet 'stuhl_var137'?,Gerät zur Kommunikation (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'stuhl_var137'?,objekte,objekte,1,categorization
Verwende 'stuhl_var137' in einem Satz.,Das ist ein stuhl_var137.,objekte,1,sentence_generation
Verwende 'stuhl_var137' in einem Satz.,Ich brauche einen stuhl_var137.,objekte,1,sentence_generation
Was bedeutet 'erschaffendenken'?,Wissen aufnehmen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'erschaffendenken'?,aktionen,aktionen,4,categorization
Verwende 'erschaffendenken' in einem Satz.,Ich erschaffendenken darüber.,aktionen,4,sentence_generation
Verwende 'erschaffendenken' in einem Satz.,Wir müssen erschaffendenken.,aktionen,4,sentence_generation
Was bedeutet 'zehneins'?,Zahl 4 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zehneins'?,zahlen,zahlen,1,categorization
Verwende 'zehneins' in einem Satz.,Ich zähle bis zehneins.,zahlen,1,sentence_generation
Verwende 'zehneins' in einem Satz.,Zehneins Dinge.,zahlen,1,sentence_generation
Was bedeutet 'violettgrün'?,Farbe der Sonne (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'violettgrün'?,farben,farben,1,categorization
Verwende 'violettgrün' in einem Satz.,Das ist violettgrün.,farben,1,sentence_generation
Verwende 'violettgrün' in einem Satz.,Ich sehe etwas violettgrünes.,farben,1,sentence_generation
Was bedeutet 'baumlampe'?,Möbel zum Arbeiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'baumlampe'?,objekte,objekte,1,categorization
Verwende 'baumlampe' in einem Satz.,Das ist ein baumlampe.,objekte,1,sentence_generation
Verwende 'baumlampe' in einem Satz.,Ich brauche einen baumlampe.,objekte,1,sentence_generation
Was bedeutet 'schwimmen_var110'?,Sich langsam fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'schwimmen_var110'?,bewegungen,bewegungen,2,categorization
Verwende 'schwimmen_var110' in einem Satz.,Ich kann schwimmen_var110.,bewegungen,2,sentence_generation
Verwende 'schwimmen_var110' in einem Satz.,Wir schwimmen_var110 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'orangeviolett'?,Farbe der Erde (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'orangeviolett'?,farben,farben,1,categorization
Verwende 'orangeviolett' in einem Satz.,Das ist orangeviolett.,farben,1,sentence_generation
Verwende 'orangeviolett' in einem Satz.,Ich sehe etwas orangeviolettes.,farben,1,sentence_generation
Was bedeutet 'grün_var111'?,Farbe des Himmels (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'grün_var111'?,farben,farben,1,categorization
Verwende 'grün_var111' in einem Satz.,Das ist grün_var111.,farben,1,sentence_generation
Verwende 'grün_var111' in einem Satz.,Ich sehe etwas grün_var111es.,farben,1,sentence_generation
Was bedeutet 'planen'?,Vorgehensweise festlegen,aktionen,4,word_meaning
Zu welcher Kategorie gehört 'planen'?,aktionen,aktionen,4,categorization
Verwende 'planen' in einem Satz.,Ich planen darüber.,aktionen,4,sentence_generation
Verwende 'planen' in einem Satz.,Wir müssen planen.,aktionen,4,sentence_generation
Was bedeutet 'wachtraurig'?,Körperlich nicht in Ordnung (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'wachtraurig'?,zustände,zustände,2,categorization
Verwende 'wachtraurig' in einem Satz.,Ich bin wachtraurig.,zustände,2,sentence_generation
Verwende 'wachtraurig' in einem Satz.,Du siehst wachtraurig aus.,zustände,2,sentence_generation
Was bedeutet 'oderalle'?,Teilmenge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'oderalle'?,logik,logik,5,categorization
Verwende 'oderalle' in einem Satz.,Oderalle das stimmt.,logik,5,sentence_generation
Verwende 'oderalle' in einem Satz.,Das ist oderalle wahr.,logik,5,sentence_generation
Was bedeutet 'rennengleiten'?,Sich im Wasser fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'rennengleiten'?,bewegungen,bewegungen,2,categorization
Verwende 'rennengleiten' in einem Satz.,Ich kann rennengleiten.,bewegungen,2,sentence_generation
Verwende 'rennengleiten' in einem Satz.,Wir rennengleiten zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'fliegen_var116'?,Rhythmische Bewegung (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'fliegen_var116'?,bewegungen,bewegungen,2,categorization
Verwende 'fliegen_var116' in einem Satz.,Ich kann fliegen_var116.,bewegungen,2,sentence_generation
Verwende 'fliegen_var116' in einem Satz.,Wir fliegen_var116 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'satt'?,Gefühl nach dem Essen,zustände,2,word_meaning
Zu welcher Kategorie gehört 'satt'?,zustände,zustände,2,categorization
Verwende 'satt' in einem Satz.,Ich bin satt.,zustände,2,sentence_generation
Verwende 'satt' in einem Satz.,Du siehst satt aus.,zustände,2,sentence_generation
Was bedeutet 'zweivier'?,Zahl 1 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zweivier'?,zahlen,zahlen,1,categorization
Verwende 'zweivier' in einem Satz.,Ich zähle bis zweivier.,zahlen,1,sentence_generation
Verwende 'zweivier' in einem Satz.,Zweivier Dinge.,zahlen,1,sentence_generation
Was bedeutet 'alleund'?,Teilmenge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'alleund'?,logik,logik,5,categorization
Verwende 'alleund' in einem Satz.,Alleund das stimmt.,logik,5,sentence_generation
Verwende 'alleund' in einem Satz.,Das ist alleund wahr.,logik,5,sentence_generation
Was bedeutet 'analysierenbewerten'?,Geistige Tätigkeit (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'analysierenbewerten'?,aktionen,aktionen,4,categorization
Verwende 'analysierenbewerten' in einem Satz.,Ich analysierenbewerten darüber.,aktionen,4,sentence_generation
Verwende 'analysierenbewerten' in einem Satz.,Wir müssen analysierenbewerten.,aktionen,4,sentence_generation
Was bedeutet 'gelborange'?,Alle Farben gemischt (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'gelborange'?,farben,farben,1,categorization
Verwende 'gelborange' in einem Satz.,Das ist gelborange.,farben,1,sentence_generation
Verwende 'gelborange' in einem Satz.,Ich sehe etwas gelborangees.,farben,1,sentence_generation
Was bedeutet 'lösenerklären'?,Vorgehensweise festlegen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'lösenerklären'?,aktionen,aktionen,4,categorization
Verwende 'lösenerklären' in einem Satz.,Ich lösenerklären darüber.,aktionen,4,sentence_generation
Verwende 'lösenerklären' in einem Satz.,Wir müssen lösenerklären.,aktionen,4,sentence_generation
Was bedeutet 'vier'?,Zahl 4,zahlen,1,word_meaning
Zu welcher Kategorie gehört 'vier'?,zahlen,zahlen,1,categorization
Verwende 'vier' in einem Satz.,Ich zähle bis vier.,zahlen,1,sentence_generation
Verwende 'vier' in einem Satz.,Vier Dinge.,zahlen,1,sentence_generation
Was bedeutet 'planenlernen'?,Systematisch untersuchen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'planenlernen'?,aktionen,aktionen,4,categorization
Verwende 'planenlernen' in einem Satz.,Ich planenlernen darüber.,aktionen,4,sentence_generation
Verwende 'planenlernen' in einem Satz.,Wir müssen planenlernen.,aktionen,4,sentence_generation
Was bedeutet 'rosaschwarz'?,Mischfarbe rot-gelb (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'rosaschwarz'?,farben,farben,1,categorization
Verwende 'rosaschwarz' in einem Satz.,Das ist rosaschwarz.,farben,1,sentence_generation
Verwende 'rosaschwarz' in einem Satz.,Ich sehe etwas rosaschwarzes.,farben,1,sentence_generation
Was bedeutet 'kriechen'?,Sich am Boden fortbewegen,bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'kriechen'?,bewegungen,bewegungen,2,categorization
Verwende 'kriechen' in einem Satz.,Ich kann kriechen.,bewegungen,2,sentence_generation
Verwende 'kriechen' in einem Satz.,Wir kriechen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'bewertenplanen'?,Systematisch untersuchen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'bewertenplanen'?,aktionen,aktionen,4,categorization
Verwende 'bewertenplanen' in einem Satz.,Ich bewertenplanen darüber.,aktionen,4,sentence_generation
Verwende 'bewertenplanen' in einem Satz.,Wir müssen bewertenplanen.,aktionen,4,sentence_generation
Was bedeutet 'gleitentanzen'?,Sich drehend bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'gleitentanzen'?,bewegungen,bewegungen,2,categorization
Verwende 'gleitentanzen' in einem Satz.,Ich kann gleitentanzen.,bewegungen,2,sentence_generation
Verwende 'gleitentanzen' in einem Satz.,Wir gleitentanzen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'stuhl_var120'?,Gebäude zum Wohnen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'stuhl_var120'?,objekte,objekte,1,categorization
Verwende 'stuhl_var120' in einem Satz.,Das ist ein stuhl_var120.,objekte,1,sentence_generation
Verwende 'stuhl_var120' in einem Satz.,Ich brauche einen stuhl_var120.,objekte,1,sentence_generation
Was bedeutet 'dannalle'?,Vollständige Menge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'dannalle'?,logik,logik,5,categorization
Verwende 'dannalle' in einem Satz.,Dannalle das stimmt.,logik,5,sentence_generation
Verwende 'dannalle' in einem Satz.,Das ist dannalle wahr.,logik,5,sentence_generation
Was bedeutet 'rennenkriechen'?,Sich am Boden fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'rennenkriechen'?,bewegungen,bewegungen,2,categorization
Verwende 'rennenkriechen' in einem Satz.,Ich kann rennenkriechen.,bewegungen,2,sentence_generation
Verwende 'rennenkriechen' in einem Satz.,Wir rennenkriechen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'autobaum'?,Gerät für Licht (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'autobaum'?,objekte,objekte,1,categorization
Verwende 'autobaum' in einem Satz.,Das ist ein autobaum.,objekte,1,sentence_generation
Verwende 'autobaum' in einem Satz.,Ich brauche einen autobaum.,objekte,1,sentence_generation
Was bedeutet 'grünblau'?,Abwesenheit von Licht (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'grünblau'?,farben,farben,1,categorization
Verwende 'grünblau' in einem Satz.,Das ist grünblau.,farben,1,sentence_generation
Verwende 'grünblau' in einem Satz.,Ich sehe etwas grünblaues.,farben,1,sentence_generation
Was bedeutet 'obwohldeshalb'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'obwohldeshalb'?,logik,logik,5,categorization
Verwende 'obwohldeshalb' in einem Satz.,Obwohldeshalb das stimmt.,logik,5,sentence_generation
Verwende 'obwohldeshalb' in einem Satz.,Das ist obwohldeshalb wahr.,logik,5,sentence_generation
Was bedeutet 'zweie'?,Zahl 4 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zweie'?,zahlen,zahlen,1,categorization
Verwende 'zweie' in einem Satz.,Ich zähle bis zweie.,zahlen,1,sentence_generation
Verwende 'zweie' in einem Satz.,Zweie Dinge.,zahlen,1,sentence_generation
Was bedeutet 'telefone'?,Gebäude zum Wohnen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'telefone'?,objekte,objekte,1,categorization
Verwende 'telefone' in einem Satz.,Das ist ein telefone.,objekte,1,sentence_generation
Verwende 'telefone' in einem Satz.,Ich brauche einen telefone.,objekte,1,sentence_generation
Was bedeutet 'fliegen_var127'?,Sich drehend bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'fliegen_var127'?,bewegungen,bewegungen,2,categorization
Verwende 'fliegen_var127' in einem Satz.,Ich kann fliegen_var127.,bewegungen,2,sentence_generation
Verwende 'fliegen_var127' in einem Satz.,Wir fliegen_var127 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'obwohloder'?,Alternative (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'obwohloder'?,logik,logik,5,categorization
Verwende 'obwohloder' in einem Satz.,Obwohloder das stimmt.,logik,5,sentence_generation
Verwende 'obwohloder' in einem Satz.,Das ist obwohloder wahr.,logik,5,sentence_generation
Was bedeutet 'rennenlaufen'?,Sich schnell fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'rennenlaufen'?,bewegungen,bewegungen,2,categorization
Verwende 'rennenlaufen' in einem Satz.,Ich kann rennenlaufen.,bewegungen,2,sentence_generation
Verwende 'rennenlaufen' in einem Satz.,Wir rennenlaufen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'haus_var128'?,Möbel zum Arbeiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'haus_var128'?,objekte,objekte,1,categorization
Verwende 'haus_var128' in einem Satz.,Das ist ein haus_var128.,objekte,1,sentence_generation
Verwende 'haus_var128' in einem Satz.,Ich brauche einen haus_var128.,objekte,1,sentence_generation
Was bedeutet 'hausbuch'?,Elektronisches Gerät (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'hausbuch'?,objekte,objekte,1,categorization
Verwende 'hausbuch' in einem Satz.,Das ist ein hausbuch.,objekte,1,sentence_generation
Verwende 'hausbuch' in einem Satz.,Ich brauche einen hausbuch.,objekte,1,sentence_generation
Was bedeutet 'müde_var135'?,Gefühl nach dem Essen (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'müde_var135'?,zustände,zustände,2,categorization
Verwende 'müde_var135' in einem Satz.,Ich bin müde_var135.,zustände,2,sentence_generation
Verwende 'müde_var135' in einem Satz.,Du siehst müde_var135 aus.,zustände,2,sentence_generation
Was bedeutet 'warme'?,Nicht schläfrig (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'warme'?,zustände,zustände,2,categorization
Verwende 'warme' in einem Satz.,Ich bin warme.,zustände,2,sentence_generation
Verwende 'warme' in einem Satz.,Du siehst warme aus.,zustände,2,sentence_generation
Was bedeutet 'computer_var133'?,Elektronisches Gerät (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'computer_var133'?,objekte,objekte,1,categorization
Verwende 'computer_var133' in einem Satz.,Das ist ein computer_var133.,objekte,1,sentence_generation
Verwende 'computer_var133' in einem Satz.,Ich brauche einen computer_var133.,objekte,1,sentence_generation
Was bedeutet 'tischbuch'?,Möbel zum Sitzen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'tischbuch'?,objekte,objekte,1,categorization
Verwende 'tischbuch' in einem Satz.,Das ist ein tischbuch.,objekte,1,sentence_generation
Verwende 'tischbuch' in einem Satz.,Ich brauche einen tischbuch.,objekte,1,sentence_generation
Was bedeutet 'siebenfünf'?,Zahl 1 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'siebenfünf'?,zahlen,zahlen,1,categorization
Verwende 'siebenfünf' in einem Satz.,Ich zähle bis siebenfünf.,zahlen,1,sentence_generation
Verwende 'siebenfünf' in einem Satz.,Siebenfünf Dinge.,zahlen,1,sentence_generation
Was bedeutet 'achtfünf'?,Zahl 7 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'achtfünf'?,zahlen,zahlen,1,categorization
Verwende 'achtfünf' in einem Satz.,Ich zähle bis achtfünf.,zahlen,1,sentence_generation
Verwende 'achtfünf' in einem Satz.,Achtfünf Dinge.,zahlen,1,sentence_generation
Was bedeutet 'müdesatt'?,Negative Emotion (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'müdesatt'?,zustände,zustände,2,categorization
Verwende 'müdesatt' in einem Satz.,Ich bin müdesatt.,zustände,2,sentence_generation
Verwende 'müdesatt' in einem Satz.,Du siehst müdesatt aus.,zustände,2,sentence_generation
Was bedeutet 'schwarzblau'?,Mischfarbe rot-blau (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarzblau'?,farben,farben,1,categorization
Verwende 'schwarzblau' in einem Satz.,Das ist schwarzblau.,farben,1,sentence_generation
Verwende 'schwarzblau' in einem Satz.,Ich sehe etwas schwarzblaues.,farben,1,sentence_generation
Was bedeutet 'glücklich'?,Positive Emotion,zustände,2,word_meaning
Zu welcher Kategorie gehört 'glücklich'?,zustände,zustände,2,categorization
Verwende 'glücklich' in einem Satz.,Ich bin glücklich.,zustände,2,sentence_generation
Verwende 'glücklich' in einem Satz.,Du siehst glücklich aus.,zustände,2,sentence_generation
Was bedeutet 'weilnicht'?,Vollständige Menge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'weilnicht'?,logik,logik,5,categorization
Verwende 'weilnicht' in einem Satz.,Weilnicht das stimmt.,logik,5,sentence_generation
Verwende 'weilnicht' in einem Satz.,Das ist weilnicht wahr.,logik,5,sentence_generation
Was bedeutet 'orangeblau'?,Farbe der Sonne (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'orangeblau'?,farben,farben,1,categorization
Verwende 'orangeblau' in einem Satz.,Das ist orangeblau.,farben,1,sentence_generation
Verwende 'orangeblau' in einem Satz.,Ich sehe etwas orangeblaues.,farben,1,sentence_generation
Was bedeutet 'undalle'?,Bedingung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'undalle'?,logik,logik,5,categorization
Verwende 'undalle' in einem Satz.,Undalle das stimmt.,logik,5,sentence_generation
Verwende 'undalle' in einem Satz.,Das ist undalle wahr.,logik,5,sentence_generation
Was bedeutet 'haus'?,Gebäude zum Wohnen,objekte,1,word_meaning
Zu welcher Kategorie gehört 'haus'?,objekte,objekte,1,categorization
Verwende 'haus' in einem Satz.,Das ist ein haus.,objekte,1,sentence_generation
Verwende 'haus' in einem Satz.,Ich brauche einen haus.,objekte,1,sentence_generation
Was bedeutet 'stuhl_var139'?,Gerät zur Kommunikation (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'stuhl_var139'?,objekte,objekte,1,categorization
Verwende 'stuhl_var139' in einem Satz.,Das ist ein stuhl_var139.,objekte,1,sentence_generation
Verwende 'stuhl_var139' in einem Satz.,Ich brauche einen stuhl_var139.,objekte,1,sentence_generation
Was bedeutet 'auto_var132'?,Möbel zum Sitzen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'auto_var132'?,objekte,objekte,1,categorization
Verwende 'auto_var132' in einem Satz.,Das ist ein auto_var132.,objekte,1,sentence_generation
Verwende 'auto_var132' in einem Satz.,Ich brauche einen auto_var132.,objekte,1,sentence_generation
Was bedeutet 'lampestuhl'?,Elektronisches Gerät (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'lampestuhl'?,objekte,objekte,1,categorization
Verwende 'lampestuhl' in einem Satz.,Das ist ein lampestuhl.,objekte,1,sentence_generation
Verwende 'lampestuhl' in einem Satz.,Ich brauche einen lampestuhl.,objekte,1,sentence_generation
Was bedeutet 'fünf_var126'?,Zahl 7 (Variante),zahlen,1,word_meaning
