word,category,meaning,complexity,examples
rotorange,farben,Farbe der Blätter (Variante),1,"['Das ist rotorange.', 'Ich sehe etwas rotorangees.', 'Rotorange ist eine Farbe.']"
zehnzwei,zahlen,Zahl 6 (Variante),1,"['Ich zähle bis zehnzwei.', 'Zehnzwei Dinge.', 'Das sind zehnzwei Objekte.']"
tischbaum,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein tischbaum.', 'Ich brauche einen tischbaum.', 'Der tischbaum ist hier.']"
gelb_var140,farben,Alle Farben gemischt (Variante),1,"['Das ist gelb_var140.', 'Ich sehe etwas gelb_var140es.', 'Gelb_var140 ist eine Farbe.']"
schwarzviolett,farben,Farbe des Himmels (Variante),1,"['Das ist schwarzviolett.', 'Ich sehe etwas schwarzviolettes.', 'Schwarzviolett ist eine Farbe.']"
stuhl_var137,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein stuhl_var137.', 'Ich brauche einen stuhl_var137.', 'Der stuhl_var137 ist hier.']"
erschaffendenken,aktionen,Wissen aufnehmen (Variante),4,"['Ich erschaffendenken darüber.', 'Wir müssen erschaffendenken.', 'Erschaffendenken ist wichtig.']"
zehneins,zahlen,Zahl 4 (Variante),1,"['Ich zähle bis zehneins.', 'Zehneins Dinge.', 'Das sind zehneins Objekte.']"
violettgrün,farben,Farbe der Sonne (Variante),1,"['Das ist violettgrün.', 'Ich sehe etwas violettgrünes.', 'Violettgrün ist eine Farbe.']"
baumlampe,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein baumlampe.', 'Ich brauche einen baumlampe.', 'Der baumlampe ist hier.']"
schwimmen_var110,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann schwimmen_var110.', 'Wir schwimmen_var110 zusammen.', 'Schwimmen_var110 ist eine Bewegung.']"
orangeviolett,farben,Farbe der Erde (Variante),1,"['Das ist orangeviolett.', 'Ich sehe etwas orangeviolettes.', 'Orangeviolett ist eine Farbe.']"
grün_var111,farben,Farbe des Himmels (Variante),1,"['Das ist grün_var111.', 'Ich sehe etwas grün_var111es.', 'Grün_var111 ist eine Farbe.']"
planen,aktionen,Vorgehensweise festlegen,4,"['Ich planen darüber.', 'Wir müssen planen.', 'Planen ist wichtig.']"
wachtraurig,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin wachtraurig.', 'Du siehst wachtraurig aus.', 'Wachtraurig fühlen ist normal.']"
oderalle,logik,Teilmenge (Variante),5,"['Oderalle das stimmt.', 'Das ist oderalle wahr.', 'Oderalle bedeutet...']"
rennengleiten,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann rennengleiten.', 'Wir rennengleiten zusammen.', 'Rennengleiten ist eine Bewegung.']"
fliegen_var116,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann fliegen_var116.', 'Wir fliegen_var116 zusammen.', 'Fliegen_var116 ist eine Bewegung.']"
satt,zustände,Gefühl nach dem Essen,2,"['Ich bin satt.', 'Du siehst satt aus.', 'Satt fühlen ist normal.']"
zweivier,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis zweivier.', 'Zweivier Dinge.', 'Das sind zweivier Objekte.']"
alleund,logik,Teilmenge (Variante),5,"['Alleund das stimmt.', 'Das ist alleund wahr.', 'Alleund bedeutet...']"
analysierenbewerten,aktionen,Geistige Tätigkeit (Variante),4,"['Ich analysierenbewerten darüber.', 'Wir müssen analysierenbewerten.', 'Analysierenbewerten ist wichtig.']"
gelborange,farben,Alle Farben gemischt (Variante),1,"['Das ist gelborange.', 'Ich sehe etwas gelborangees.', 'Gelborange ist eine Farbe.']"
lösenerklären,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich lösenerklären darüber.', 'Wir müssen lösenerklären.', 'Lösenerklären ist wichtig.']"
vier,zahlen,Zahl 4,1,"['Ich zähle bis vier.', 'Vier Dinge.', 'Das sind vier Objekte.']"
planenlernen,aktionen,Systematisch untersuchen (Variante),4,"['Ich planenlernen darüber.', 'Wir müssen planenlernen.', 'Planenlernen ist wichtig.']"
rosaschwarz,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist rosaschwarz.', 'Ich sehe etwas rosaschwarzes.', 'Rosaschwarz ist eine Farbe.']"
kriechen,bewegungen,Sich am Boden fortbewegen,2,"['Ich kann kriechen.', 'Wir kriechen zusammen.', 'Kriechen ist eine Bewegung.']"
bewertenplanen,aktionen,Systematisch untersuchen (Variante),4,"['Ich bewertenplanen darüber.', 'Wir müssen bewertenplanen.', 'Bewertenplanen ist wichtig.']"
gleitentanzen,bewegungen,Sich drehend bewegen (Variante),2,"['Ich kann gleitentanzen.', 'Wir gleitentanzen zusammen.', 'Gleitentanzen ist eine Bewegung.']"
stuhl_var120,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein stuhl_var120.', 'Ich brauche einen stuhl_var120.', 'Der stuhl_var120 ist hier.']"
dannalle,logik,Vollständige Menge (Variante),5,"['Dannalle das stimmt.', 'Das ist dannalle wahr.', 'Dannalle bedeutet...']"
rennenkriechen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann rennenkriechen.', 'Wir rennenkriechen zusammen.', 'Rennenkriechen ist eine Bewegung.']"
autobaum,objekte,Gerät für Licht (Variante),1,"['Das ist ein autobaum.', 'Ich brauche einen autobaum.', 'Der autobaum ist hier.']"
grünblau,farben,Abwesenheit von Licht (Variante),1,"['Das ist grünblau.', 'Ich sehe etwas grünblaues.', 'Grünblau ist eine Farbe.']"
obwohldeshalb,logik,Schlussfolgerung (Variante),5,"['Obwohldeshalb das stimmt.', 'Das ist obwohldeshalb wahr.', 'Obwohldeshalb bedeutet...']"
zweie,zahlen,Zahl 4 (Variante),1,"['Ich zähle bis zweie.', 'Zweie Dinge.', 'Das sind zweie Objekte.']"
telefone,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein telefone.', 'Ich brauche einen telefone.', 'Der telefone ist hier.']"
fliegen_var127,bewegungen,Sich drehend bewegen (Variante),2,"['Ich kann fliegen_var127.', 'Wir fliegen_var127 zusammen.', 'Fliegen_var127 ist eine Bewegung.']"
obwohloder,logik,Alternative (Variante),5,"['Obwohloder das stimmt.', 'Das ist obwohloder wahr.', 'Obwohloder bedeutet...']"
rennenlaufen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann rennenlaufen.', 'Wir rennenlaufen zusammen.', 'Rennenlaufen ist eine Bewegung.']"
haus_var128,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein haus_var128.', 'Ich brauche einen haus_var128.', 'Der haus_var128 ist hier.']"
hausbuch,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein hausbuch.', 'Ich brauche einen hausbuch.', 'Der hausbuch ist hier.']"
müde_var135,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin müde_var135.', 'Du siehst müde_var135 aus.', 'Müde_var135 fühlen ist normal.']"
warme,zustände,Nicht schläfrig (Variante),2,"['Ich bin warme.', 'Du siehst warme aus.', 'Warme fühlen ist normal.']"
computer_var133,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein computer_var133.', 'Ich brauche einen computer_var133.', 'Der computer_var133 ist hier.']"
tischbuch,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein tischbuch.', 'Ich brauche einen tischbuch.', 'Der tischbuch ist hier.']"
siebenfünf,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis siebenfünf.', 'Siebenfünf Dinge.', 'Das sind siebenfünf Objekte.']"
achtfünf,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis achtfünf.', 'Achtfünf Dinge.', 'Das sind achtfünf Objekte.']"
müdesatt,zustände,Negative Emotion (Variante),2,"['Ich bin müdesatt.', 'Du siehst müdesatt aus.', 'Müdesatt fühlen ist normal.']"
schwarzblau,farben,Mischfarbe rot-blau (Variante),1,"['Das ist schwarzblau.', 'Ich sehe etwas schwarzblaues.', 'Schwarzblau ist eine Farbe.']"
glücklich,zustände,Positive Emotion,2,"['Ich bin glücklich.', 'Du siehst glücklich aus.', 'Glücklich fühlen ist normal.']"
weilnicht,logik,Vollständige Menge (Variante),5,"['Weilnicht das stimmt.', 'Das ist weilnicht wahr.', 'Weilnicht bedeutet...']"
orangeblau,farben,Farbe der Sonne (Variante),1,"['Das ist orangeblau.', 'Ich sehe etwas orangeblaues.', 'Orangeblau ist eine Farbe.']"
undalle,logik,Bedingung (Variante),5,"['Undalle das stimmt.', 'Das ist undalle wahr.', 'Undalle bedeutet...']"
haus,objekte,Gebäude zum Wohnen,1,"['Das ist ein haus.', 'Ich brauche einen haus.', 'Der haus ist hier.']"
stuhl_var139,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein stuhl_var139.', 'Ich brauche einen stuhl_var139.', 'Der stuhl_var139 ist hier.']"
auto_var132,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein auto_var132.', 'Ich brauche einen auto_var132.', 'Der auto_var132 ist hier.']"
lampestuhl,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein lampestuhl.', 'Ich brauche einen lampestuhl.', 'Der lampestuhl ist hier.']"
fünf_var126,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis fünf_var126.', 'Fünf_var126 Dinge.', 'Das sind fünf_var126 Objekte.']"
rot,farben,Farbe des Blutes,1,"['Das ist rot.', 'Ich sehe etwas rotes.', 'Rot ist eine Farbe.']"
gehen_var104,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann gehen_var104.', 'Wir gehen_var104 zusammen.', 'Gehen_var104 ist eine Bewegung.']"
einige_var135,logik,Schlussfolgerung (Variante),5,"['Einige_var135 das stimmt.', 'Das ist einige_var135 wahr.', 'Einige_var135 bedeutet...']"
grünrot,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist grünrot.', 'Ich sehe etwas grünrotes.', 'Grünrot ist eine Farbe.']"
fliegen_var124,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann fliegen_var124.', 'Wir fliegen_var124 zusammen.', 'Fliegen_var124 ist eine Bewegung.']"
fenstercomputer,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein fenstercomputer.', 'Ich brauche einen fenstercomputer.', 'Der fenstercomputer ist hier.']"
stuhlbuch,objekte,Gerät für Licht (Variante),1,"['Das ist ein stuhlbuch.', 'Ich brauche einen stuhlbuch.', 'Der stuhlbuch ist hier.']"
acht_var121,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis acht_var121.', 'Acht_var121 Dinge.', 'Das sind acht_var121 Objekte.']"
müdekalt,zustände,Positive Emotion (Variante),2,"['Ich bin müdekalt.', 'Du siehst müdekalt aus.', 'Müdekalt fühlen ist normal.']"
neun_var110,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis neun_var110.', 'Neun_var110 Dinge.', 'Das sind neun_var110 Objekte.']"
laufen,bewegungen,Sich schnell fortbewegen,2,"['Ich kann laufen.', 'Wir laufen zusammen.', 'Laufen ist eine Bewegung.']"
lernenbewerten,aktionen,Wissen aufnehmen (Variante),4,"['Ich lernenbewerten darüber.', 'Wir müssen lernenbewerten.', 'Lernenbewerten ist wichtig.']"
bewerten_var135,aktionen,Verständlich machen (Variante),4,"['Ich bewerten_var135 darüber.', 'Wir müssen bewerten_var135.', 'Bewerten_var135 ist wichtig.']"
analysieren,aktionen,Systematisch untersuchen,4,"['Ich analysieren darüber.', 'Wir müssen analysieren.', 'Analysieren ist wichtig.']"
sattwarm,zustände,Hohe Temperatur (Variante),2,"['Ich bin sattwarm.', 'Du siehst sattwarm aus.', 'Sattwarm fühlen ist normal.']"
neunzehn,zahlen,Zahl 5 (Variante),1,"['Ich zähle bis neunzehn.', 'Neunzehn Dinge.', 'Das sind neunzehn Objekte.']"
drei_var119,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis drei_var119.', 'Drei_var119 Dinge.', 'Das sind drei_var119 Objekte.']"
lernen_var120,aktionen,Etwas Neues schaffen (Variante),4,"['Ich lernen_var120 darüber.', 'Wir müssen lernen_var120.', 'Lernen_var120 ist wichtig.']"
kriechen_var115,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann kriechen_var115.', 'Wir kriechen_var115 zusammen.', 'Kriechen_var115 ist eine Bewegung.']"
blau,farben,Farbe des Himmels,1,"['Das ist blau.', 'Ich sehe etwas blaues.', 'Blau ist eine Farbe.']"
autostuhl,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein autostuhl.', 'Ich brauche einen autostuhl.', 'Der autostuhl ist hier.']"
tischcomputer,objekte,Gerät für Licht (Variante),1,"['Das ist ein tischcomputer.', 'Ich brauche einen tischcomputer.', 'Der tischcomputer ist hier.']"
odereinige,logik,Negation (Variante),5,"['Odereinige das stimmt.', 'Das ist odereinige wahr.', 'Odereinige bedeutet...']"
satttraurig,zustände,Negative Emotion (Variante),2,"['Ich bin satttraurig.', 'Du siehst satttraurig aus.', 'Satttraurig fühlen ist normal.']"
viere,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis viere.', 'Viere Dinge.', 'Das sind viere Objekte.']"
computerbuch,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein computerbuch.', 'Ich brauche einen computerbuch.', 'Der computerbuch ist hier.']"
violette,farben,Mischfarbe rot-blau (Variante),1,"['Das ist violette.', 'Ich sehe etwas violettees.', 'Violette ist eine Farbe.']"
fliegengleiten,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann fliegengleiten.', 'Wir fliegengleiten zusammen.', 'Fliegengleiten ist eine Bewegung.']"
fliegen_var126,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann fliegen_var126.', 'Wir fliegen_var126 zusammen.', 'Fliegen_var126 ist eine Bewegung.']"
dreizwei,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis dreizwei.', 'Dreizwei Dinge.', 'Das sind dreizwei Objekte.']"
lernenerschaffen,aktionen,Problem beheben (Variante),4,"['Ich lernenerschaffen darüber.', 'Wir müssen lernenerschaffen.', 'Lernenerschaffen ist wichtig.']"
computerlampe,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein computerlampe.', 'Ich brauche einen computerlampe.', 'Der computerlampe ist hier.']"
deshalbdann,logik,Vollständige Menge (Variante),5,"['Deshalbdann das stimmt.', 'Das ist deshalbdann wahr.', 'Deshalbdann bedeutet...']"
warmglücklich,zustände,Niedrige Temperatur (Variante),2,"['Ich bin warmglücklich.', 'Du siehst warmglücklich aus.', 'Warmglücklich fühlen ist normal.']"
computerstuhl,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein computerstuhl.', 'Ich brauche einen computerstuhl.', 'Der computerstuhl ist hier.']"
zweifünf,zahlen,Zahl 3 (Variante),1,"['Ich zähle bis zweifünf.', 'Zweifünf Dinge.', 'Das sind zweifünf Objekte.']"
tanzenschwimmen,bewegungen,Sich drehend bewegen (Variante),2,"['Ich kann tanzenschwimmen.', 'Wir tanzenschwimmen zusammen.', 'Tanzenschwimmen ist eine Bewegung.']"
gehenfliegen,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann gehenfliegen.', 'Wir gehenfliegen zusammen.', 'Gehenfliegen ist eine Bewegung.']"
tanzen_var125,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann tanzen_var125.', 'Wir tanzen_var125 zusammen.', 'Tanzen_var125 ist eine Bewegung.']"
buchstuhl,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein buchstuhl.', 'Ich brauche einen buchstuhl.', 'Der buchstuhl ist hier.']"
erschaffenanalysieren,aktionen,Bedeutung erfassen (Variante),4,"['Ich erschaffenanalysieren darüber.', 'Wir müssen erschaffenanalysieren.', 'Erschaffenanalysieren ist wichtig.']"
baumstuhl,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein baumstuhl.', 'Ich brauche einen baumstuhl.', 'Der baumstuhl ist hier.']"
lampeauto,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein lampeauto.', 'Ich brauche einen lampeauto.', 'Der lampeauto ist hier.']"
grüne,farben,Mischfarbe rot-blau (Variante),1,"['Das ist grüne.', 'Ich sehe etwas grünees.', 'Grüne ist eine Farbe.']"
wenneinige,logik,Bedingung (Variante),5,"['Wenneinige das stimmt.', 'Das ist wenneinige wahr.', 'Wenneinige bedeutet...']"
dreifünf,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis dreifünf.', 'Dreifünf Dinge.', 'Das sind dreifünf Objekte.']"
grün_var130,farben,Farbe des Himmels (Variante),1,"['Das ist grün_var130.', 'Ich sehe etwas grün_var130es.', 'Grün_var130 ist eine Farbe.']"
rennen,bewegungen,Sehr schnell laufen,2,"['Ich kann rennen.', 'Wir rennen zusammen.', 'Rennen ist eine Bewegung.']"
warm_var139,zustände,Niedrige Temperatur (Variante),2,"['Ich bin warm_var139.', 'Du siehst warm_var139 aus.', 'Warm_var139 fühlen ist normal.']"
braune,farben,Helle rote Farbe (Variante),1,"['Das ist braune.', 'Ich sehe etwas braunees.', 'Braune ist eine Farbe.']"
fünfeins,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis fünfeins.', 'Fünfeins Dinge.', 'Das sind fünfeins Objekte.']"
schwarz,farben,Abwesenheit von Licht,1,"['Das ist schwarz.', 'Ich sehe etwas schwarzes.', 'Schwarz ist eine Farbe.']"
lösenverstehen,aktionen,Problem beheben (Variante),4,"['Ich lösenverstehen darüber.', 'Wir müssen lösenverstehen.', 'Lösenverstehen ist wichtig.']"
gelbe,farben,Farbe der Blätter (Variante),1,"['Das ist gelbe.', 'Ich sehe etwas gelbees.', 'Gelbe ist eine Farbe.']"
weißschwarz,farben,Farbe der Sonne (Variante),1,"['Das ist weißschwarz.', 'Ich sehe etwas weißschwarzes.', 'Weißschwarz ist eine Farbe.']"
weiß_var118,farben,Farbe des Blutes (Variante),1,"['Das ist weiß_var118.', 'Ich sehe etwas weiß_var118es.', 'Weiß_var118 ist eine Farbe.']"
einigedann,logik,Vollständige Menge (Variante),5,"['Einigedann das stimmt.', 'Das ist einigedann wahr.', 'Einigedann bedeutet...']"
planen_var128,aktionen,Bedeutung erfassen (Variante),4,"['Ich planen_var128 darüber.', 'Wir müssen planen_var128.', 'Planen_var128 ist wichtig.']"
violettblau,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist violettblau.', 'Ich sehe etwas violettblaues.', 'Violettblau ist eine Farbe.']"
lernenverstehen,aktionen,Systematisch untersuchen (Variante),4,"['Ich lernenverstehen darüber.', 'Wir müssen lernenverstehen.', 'Lernenverstehen ist wichtig.']"
autotisch,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein autotisch.', 'Ich brauche einen autotisch.', 'Der autotisch ist hier.']"
weiß,farben,Alle Farben gemischt,1,"['Das ist weiß.', 'Ich sehe etwas weißes.', 'Weiß ist eine Farbe.']"
buchbaum,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein buchbaum.', 'Ich brauche einen buchbaum.', 'Der buchbaum ist hier.']"
hauslampe,objekte,Gerät für Licht (Variante),1,"['Das ist ein hauslampe.', 'Ich brauche einen hauslampe.', 'Der hauslampe ist hier.']"
gesund_var129,zustände,Negative Emotion (Variante),2,"['Ich bin gesund_var129.', 'Du siehst gesund_var129 aus.', 'Gesund_var129 fühlen ist normal.']"
gelbrot,farben,Farbe der Blätter (Variante),1,"['Das ist gelbrot.', 'Ich sehe etwas gelbrotes.', 'Gelbrot ist eine Farbe.']"
hungrig_var131,zustände,Negative Emotion (Variante),2,"['Ich bin hungrig_var131.', 'Du siehst hungrig_var131 aus.', 'Hungrig_var131 fühlen ist normal.']"
wachsatt,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin wachsatt.', 'Du siehst wachsatt aus.', 'Wachsatt fühlen ist normal.']"
autobuch,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein autobuch.', 'Ich brauche einen autobuch.', 'Der autobuch ist hier.']"
lösendenken,aktionen,Verständlich machen (Variante),4,"['Ich lösendenken darüber.', 'Wir müssen lösendenken.', 'Lösendenken ist wichtig.']"
entscheiden_var134,aktionen,Problem beheben (Variante),4,"['Ich entscheiden_var134 darüber.', 'Wir müssen entscheiden_var134.', 'Entscheiden_var134 ist wichtig.']"
traurig_var112,zustände,Bedürfnis nach Nahrung (Variante),2,"['Ich bin traurig_var112.', 'Du siehst traurig_var112 aus.', 'Traurig_var112 fühlen ist normal.']"
obwohle,logik,Schlussfolgerung (Variante),5,"['Obwohle das stimmt.', 'Das ist obwohle wahr.', 'Obwohle bedeutet...']"
rollenkriechen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann rollenkriechen.', 'Wir rollenkriechen zusammen.', 'Rollenkriechen ist eine Bewegung.']"
buch_var140,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein buch_var140.', 'Ich brauche einen buch_var140.', 'Der buch_var140 ist hier.']"
bewertenentscheiden,aktionen,Etwas Neues schaffen (Variante),4,"['Ich bewertenentscheiden darüber.', 'Wir müssen bewertenentscheiden.', 'Bewertenentscheiden ist wichtig.']"
violettorange,farben,Farbe der Erde (Variante),1,"['Das ist violettorange.', 'Ich sehe etwas violettorangees.', 'Violettorange ist eine Farbe.']"
lösenbewerten,aktionen,Systematisch untersuchen (Variante),4,"['Ich lösenbewerten darüber.', 'Wir müssen lösenbewerten.', 'Lösenbewerten ist wichtig.']"
viereins,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis viereins.', 'Viereins Dinge.', 'Das sind viereins Objekte.']"
achteins,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis achteins.', 'Achteins Dinge.', 'Das sind achteins Objekte.']"
oder_var121,logik,Teilmenge (Variante),5,"['Oder_var121 das stimmt.', 'Das ist oder_var121 wahr.', 'Oder_var121 bedeutet...']"
telefonlampe,objekte,Gerät für Licht (Variante),1,"['Das ist ein telefonlampe.', 'Ich brauche einen telefonlampe.', 'Der telefonlampe ist hier.']"
rosablau,farben,Farbe des Himmels (Variante),1,"['Das ist rosablau.', 'Ich sehe etwas rosablaues.', 'Rosablau ist eine Farbe.']"
grünrosa,farben,Farbe der Sonne (Variante),1,"['Das ist grünrosa.', 'Ich sehe etwas grünrosaes.', 'Grünrosa ist eine Farbe.']"
denkenbewerten,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich denkenbewerten darüber.', 'Wir müssen denkenbewerten.', 'Denkenbewerten ist wichtig.']"
schwimmenrennen,bewegungen,Sich drehend bewegen (Variante),2,"['Ich kann schwimmenrennen.', 'Wir schwimmenrennen zusammen.', 'Schwimmenrennen ist eine Bewegung.']"
wenn_var110,logik,Schlussfolgerung (Variante),5,"['Wenn_var110 das stimmt.', 'Das ist wenn_var110 wahr.', 'Wenn_var110 bedeutet...']"
schwarze,farben,Helle rote Farbe (Variante),1,"['Das ist schwarze.', 'Ich sehe etwas schwarzees.', 'Schwarze ist eine Farbe.']"
erschaffenentscheiden,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich erschaffenentscheiden darüber.', 'Wir müssen erschaffenentscheiden.', 'Erschaffenentscheiden ist wichtig.']"
rollengehen,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann rollengehen.', 'Wir rollengehen zusammen.', 'Rollengehen ist eine Bewegung.']"
kranke,zustände,Nicht schläfrig (Variante),2,"['Ich bin kranke.', 'Du siehst kranke aus.', 'Kranke fühlen ist normal.']"
telefonhaus,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein telefonhaus.', 'Ich brauche einen telefonhaus.', 'Der telefonhaus ist hier.']"
sechszehn,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis sechszehn.', 'Sechszehn Dinge.', 'Das sind sechszehn Objekte.']"
wenne,logik,Negation (Variante),5,"['Wenne das stimmt.', 'Das ist wenne wahr.', 'Wenne bedeutet...']"
krankkalt,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin krankkalt.', 'Du siehst krankkalt aus.', 'Krankkalt fühlen ist normal.']"
wenndeshalb,logik,Gegensatz (Variante),5,"['Wenndeshalb das stimmt.', 'Das ist wenndeshalb wahr.', 'Wenndeshalb bedeutet...']"
orange_var139,farben,Abwesenheit von Licht (Variante),1,"['Das ist orange_var139.', 'Ich sehe etwas orange_var139es.', 'Orange_var139 ist eine Farbe.']"
lampetelefon,objekte,Gerät für Licht (Variante),1,"['Das ist ein lampetelefon.', 'Ich brauche einen lampetelefon.', 'Der lampetelefon ist hier.']"
orangee,farben,Alle Farben gemischt (Variante),1,"['Das ist orangee.', 'Ich sehe etwas orangeees.', 'Orangee ist eine Farbe.']"
zweizehn,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis zweizehn.', 'Zweizehn Dinge.', 'Das sind zweizehn Objekte.']"
